Iteration,m,n,b,org,TL,flux
1,0.008981886669999996,525279.3954479947,4718,plant,1.0000000000000038,6428.813670266398
1,0.0015855815800000007,1235020.843266858,1958.226299999998,plant,0.9999999999999962,0
1,6.580629999999999e-6,25428162.653119877,167.33333000000022,plant,1.000000000000044,0.0028574577583451205
1,0.004534407020000001,340360.5572223203,1543.3333000000011,plant,0.9999999999999882,2708.904783120414
1,3.3700000000000044e-8,59715.133531157255,0.0020124000000000023,detritus,1.0000000000000335,1.3675381008151555
1,1.314,0.012630974124809737,0.016597099999999997,plant,0.9999999999999655,652.5160365489088
1,2.4451249999999984e-5,166317.33346965894,4.066666699999995,plant,1.0000000000000189,159881.2585963468
1,7.223774899999997e-4,2237057.5251451964,1615.9999999999982,plant,1.000000000000003,13699.39413222105
1,6.353769999999996e-6,1049245.8335759726,6.666666700000003,detritus,0.9999999999999813,240.07975871375749
1,0.004534407020000001,340360.5572223203,1543.3333000000011,plant,0.9999999999999609,52750.6460894319
1,0.00284970943,1427.0460900990877,4.0666667,plant,1.999999999999988,138.99759842448225
1,5.638289999999998e-6,721258.8745878635,4.066666700000003,plant,2.000000000000007,1043.3374912721954
1,0.0030711267599999995,2170.7559540785624,6.666666700000003,plant,0.9999999999999962,65.1729935671266
1,0.004534407020000001,340360.5572223203,1543.3333000000011,plant,1.0000000000000202,9811.443349353545
1,0.0020451279700000003,19884.656411011794,40.66666700000005,detritus,2.000000000000031,258.5304804072623
1,7.791060000000001e-6,855681.6017332689,6.666666700000003,detritus,1.0000000000000273,165025.59175416047
1,3.72e-8,109318997.31182784,4.066666699999995,plant,2.3333333333332784,9016.4077010489
1,0.7735,0.021457142857142848,0.016597099999999993,detritus,1.0000000000000109,1680.460456414056
1,1.4946240000000005e-5,272086.2705269019,4.066666700000003,plant,0.9999999999999517,9394.796714451772
1,8.811139300000004e-4,46153.698875240785,40.666667000000004,plant,1.9999999999999747,73678.88546665439
1,3.324751999999998e-5,122314.88844882282,4.066666700000003,detritus,0.999999999999988,7371.013200750601
1,0.006254262220000001,1065.9397488453885,6.666666700000003,plant,3.0000000000000298,19.83382698014772
1,9.826124600000004e-4,16.89078927413559,0.016597099999999993,plant,2.388888888888886,0.04707508560314107
1,0.004534407020000001,340360.5572223203,1543.3333000000011,plant,2.0000000000000044,4377.429392430604
1,0.004534407020000001,340360.5572223203,1543.3333000000011,plant,0.999999999999999,5985.2026969246535
1,5.5056850000000035e-5,738630.4701413172,40.66666700000001,detritus,2.3333333333333353,166.99355977525747
1,0.0035111444999999996,11582.168435391948,40.66666700000004,detritus,2.444444444444425,191.98065791769562
1,3.324751999999998e-5,122314.88844882282,4.066666700000003,detritus,1.9999999999999971,18.470473401474933
1,1.314,0.012630974124809737,0.016597099999999997,plant,2.555555555555552,0.07063386246692215
1,0.0035111444999999996,11582.168435391948,40.66666700000004,detritus,1.9999999999999718,173.06901590435226
1,4.507739500000001e-4,90215.21097215133,40.666667000000004,plant,2.3999999999999777,182.7939644459903
1,0.00284970943,1427.0460900990877,4.0666667,plant,2.1666666666666274,18.5104313506331
1,0.0015855815800000007,1235020.843266858,1958.226299999998,plant,1.000000000000012,26577.57135770209
1,0.0030711267599999995,2170.7559540785624,6.666666700000003,plant,1.0000000000000266,3255.3882289950393
1,0.369,0.04497859078590784,0.016597099999999993,detritus,2.1666666666666536,1446.6335982506969
1,1.314,0.012630974124809737,0.016597099999999997,plant,1.999999999999963,1446.4770828199844
1,2.1699999999999987e-6,5.806451612903231,1.2600000000000005e-5,animal,2.000000000000005,1.2254526552783156
1,3.3700000000000044e-8,27818.991097922823,9.375000000000003e-4,animal,0.9999999999999961,86.3941163254692
1,1.1399999999999992e-6,1.7543859649122828,2.000000000000001e-6,animal,2.4444444444444327,0.020497911765506985
1,7.791060000000001e-6,550881.1999999998,4.291948482072,animal,2.499999999999986,44186.02147512483
1,3.609999999999997e-8,7243559.556786716,0.26149250000000024,animal,2.949206349206344,2662.5498933961258
1,2.499999999999999e-6,74334.68000000002,0.18583669999999997,animal,2.791666666666655,1892.2129153764918
1,2.9652399999999994e-6,26482.110000000015,0.07852581185640004,animal,2.87301587301586,795.8583253562292
1,2.499999999999999e-6,74334.68000000002,0.18583669999999997,animal,1.0000000000000033,1883.4531165882465
1,1.1399999999999992e-6,1.7543859649122828,2.000000000000001e-6,animal,2.0000000000000173,2.5505982979406096e-4
1,2.499999999999999e-6,74334.68000000002,0.18583669999999997,animal,2.3888888888889017,9517.731701565057
1,1.1399999999999992e-6,1.7543859649122828,2.000000000000001e-6,animal,2.583333333333338,0.10243062843237076
1,2.1699999999999987e-6,5.806451612903231,1.2600000000000005e-5,animal,4.000000000000012,0.6453129591239356
1,1.1399999999999992e-6,1.7543859649122828,2.000000000000001e-6,animal,3.2163580246913632,0.008515343618209664
1,2.1699999999999987e-6,5.806451612903231,1.2600000000000005e-5,animal,3.337063492063478,0.05364180697727624
1,2.1699999999999987e-6,5.806451612903231,1.2600000000000005e-5,animal,3.024444444444436,0.002170098284798817
1,1.4946240000000005e-5,190410.75999999983,2.8459249175423986,animal,2.444444444444434,490.1537128749977
1,2.1699999999999987e-6,5.806451612903231,1.2600000000000005e-5,animal,2.3333333333333086,0.002176443863563279
1,2.1699999999999987e-6,5.806451612903231,1.2600000000000005e-5,animal,2.4761904761904745,0.002176443863563279
1,2.499999999999999e-6,74334.68000000002,0.18583669999999997,animal,1.999999999999981,32.20735724504123
1,2.499999999999999e-6,74334.68000000002,0.18583669999999997,animal,2.900740740740742,429.31716455330564
