logM,logN,logB
NA,NA,-3.275705469229346
NA,NA,4.682748351478623
NA,NA,6.985333444472668
NA,NA,8.89827452357242
NA,NA,6.64850516052459
NA,NA,6.389121467169231
NA,NA,6.834467479625505
NA,NA,6.677281905031936
NA,NA,6.742880635791903
NA,NA,8.057040909907181
NA,NA,12.33365625385183
NA,NA,8.3125442309188209
NA,NA,3.060270779066562
NA,NA,9.211473030276517
NA,NA,7.443468637764295
NA,NA,7.756195343948118
NA,NA,3.3081069464010215
NA,NA,6.701141025520777
-17.53278948659991,NA,-1.2192055693667148
-11.605552946429755,10.445568209033894,-1.1599843084668462
-12.531107736363465,10.445568209033894,-2.0855401001417055
-13.17297269523087,11.212055614784868,-1.9609149602998772
-12.401075875900073,14.072233950277502,1.6080202279942306
-12.399123556537214,11.96165898068838,-0.5783798876880624
-13.68448229555787,NA,NA
-12.010505861986198,13.022990102396774,1.0954148155282566
-12.29377662595056,13.339564024593932,1.0493154211462137
-12.92268908728005,9.059274429450848,-3.863413810013524
-12.204933294836747,15.060158825435268,2.7695546240154276
-12.600597813600004,10.157886330427766,-2.4424841447682684
-10.919598619692493,9.059274429450848,-1.8601640138132225
-12.322606461786126,11.892487294594392,-0.42947961191627426
-12.540147757551665,12.225028002229266,-0.31490788755872035
-12.512597805783434,9.752421028473949,-2.760568455973916
-17.205767999588094,NA,-6.852320572094037
-17.205767999588094,NA,-7.777878330011285
-17.205767999588094,NA,-7.653248939914292
-17.205767999588094,NA,-4.084289286380801
-17.205767999588094,NA,-6.2707023727771
-17.205767999588094,NA,-4.596894523937009
-17.205767999588094,NA,-4.6429966715285484
-17.205767999588094,NA,-9.5556515572646
-17.205767999588094,NA,-2.922753224108067
-17.205767999588094,NA,-8.134655587951778
-17.205767999588094,NA,-7.552493320334395
-17.205767999588094,NA,-6.1218010488359855
-17.205767999588094,NA,-6.0072281422874605
-17.205767999588094,NA,-8.452810932486969
NA,NA,NA
-13.42346847018825,12.348657209254636,-1.2650573860743906
-11.933662091371213,12.077847265376757,0.17148918122035575
-13.767625565243701,11.256498489865445,-2.5111245550460217
NA,NA,NA
-17.131448095675605,NA,NA
-12.084078046525653,13.1179423390001,1.0884769660383513
-12.960321061468756,13.141318724291189,0.18099834840640516
-10.733584991960576,12.9995944779605,2.239133117352067
-7.075150513648531,13.238272249023053,6.343648772848532
-7.423710402834809,9.817280760871808,2.361374997451331
-12.89921982609012,NA,NA
-13.599472188780112,12.225028002229266,-1.3744444494746544
-13.632739102389955,13.69696219702119,0.06422706639057643
-13.040783390411907,NA,NA
-12.807552637564296,11.905202727793135,-0.9024696840987811
-18.609422868549242,NA,-2.9800361054476667
-10.298012720605959,NA,-2.108698173579437
-12.2040746428675,14.095986375116409,1.891604804197771
-12.915349208020002,13.69696219702119,0.7807071320550631
-11.831754266418846,13.60378828483254,1.2792162601454387
-19.080393148426072,NA,-1.2540664676814208
-12.125414742512719,14.008966521544444,1.8025557952616784
-17.25129938439605,13.157965705938743,-4.092771799661784
-17.136972971607577,NA,-1.4114189570016102
-12.815831337174735,12.733929854917875,0.2026334498171647
-12.338489231211506,9.840167488777778,-2.4554589216761236
-14.289618598795101,11.212055614784868,-3.0775694236100004
-12.533136084039223,13.72910538265182,1.1959701584024593
-12.533136084039223,NA,-0.1700000196717743
-12.89921982609012,NA,NA
-13.040783390411907,NA,NA
-10.009263710116647,12.266344875852253,0.1938872489149743
-10.009263710116647,NA,-4.102638865046921
-6.329501580986081,8.507185278905277,2.177683419853828
-5.270209140154957,10.33292013233476,4.967933547838078
-5.443539243374712,7.109487229295915,1.617794141699039
-7.764574924694595,4.883407799611873,-2.8811864720905915
-5.262950222710745,8.344792658115301,3.0571329235943834
-4.221642765596365,4.28771595520264,0.06800204744956201
-4.6589209712184205,4.627127353340134,-0.04937271882144782
-2.071473372030659,2.258633205464863,0.18385454782919677
0.23111172096338664,NA,-2.5714833576235923
-1.0405114720292066,NA,-2.4538103892646754
-0.8340922933051962,NA,-0.8610968297577072
-6.57498282096608,7.438436469819443,0.8634520334383562
0.7168637071772613,NA,-0.9841173194489513
-7.52858840263543,4.716711560720999,-2.8718805784071524
-0.7609978474681197,NA,0.1928267666765767
-0.2484613592984996,-4.605170185988091,-4.528690742282873
-1.489435120039404,-0.6348782724359695,-2.1268258545215004
