flux,species_id_stage_id,M,N,node_type,working_name,organismal_group,consumer_strategy_stage,TL,OI,org_type,con_type
8.75026999572902,1.1,9.419999999999993e-6,8050.509554140132,detritus,carrion-detritus,detritus,detritus,1.000000000000019,0,detritus,detritus
191231.165301818,2.1,0.0201,11917.081094527364,detritus,marine-detritus,detritus,detritus,1.0000000000000095,0,detritus,detritus
182673.8602879637,3.1,0.0201,119170.81094527357,detritus,terrestrial-detritus,detritus,detritus,1.0000000000000122,0,detritus,detritus
0.3627451806011245,5.1,0.018652075999999997,25484.205082587072,taxon,Salt Grass,vascular plant,autotroph,0.9999999999999944,0,plant,plant
63433.82353733716,6.1,0.009810000000000001,30246.68705402649,taxon,epipellic flora,microphytobenthos,autotroph,1.00000000000001,0,plant,plant
0.6868246805689219,7.1,0.0201,44776.11940298508,taxon,Alkali Heath,vascular plant,autotroph,0.999999999999995,0,plant,plant
3.425474524897618,8.1,0.018652075999999997,240652.39172304474,taxon,Fleshy Jaumea,vascular plant,autotroph,0.9999999999999961,0,plant,plant
0.09177665447231359,9.1,0.027576999999999997,4375.627153062338,taxon,California Sea Lavender,vascular plant,autotroph,0.9999999999999931,0,plant,plant
1650.9788901155289,10.1,0.027576999999999997,9301.05667766618,taxon,macroalgae,macroalgae,autotroph,0.9999999999999925,0,plant,plant
0.970712215204076,11.1,0.018652075999999997,68196.16218591432,taxon,Shore Grass,vascular plant,autotroph,0.999999999999994,0,plant,plant
213104.39060326596,12.1,0.026073871300000006,58592.4077948486,taxon,phytoplankton,vascular plant,autotroph,1.000000000000033,0,plant,plant
0,13.1,0.006596379169999998,27365391.73202199,taxon,roots,vascular plant,autotroph,NA,NA,plant,plant
21456.392585565693,16.1,0.026073871300000006,1473822.8381145694,taxon,Pickleweed,vascular plant,autotroph,1.0000000000000113,0,plant,plant
0.8236131920466523,21.1,2.4299999999999963e-8,5897687.242798359,taxon,foraminiferan,protist,predator,2.000000000000027,3.0001366301686605e-28,animal,animal
14324.233590977143,25.1,2.884680000000002e-6,900311.4900000001,life stage,Capitella capitata,annelid,detritivore,1.999999999999991,3.478876592024662e-28,animal,animal
