interaction,flux,system
carn_csmsim,361240.31076847925,CSM
carn_csmsim,285285.52222071274,CSM
carn_csmsim,79850.62859633396,CSM
carn_csmsim,268443.5619953242,CSM
carn_csmsim,85279.32596032514,CSM
carn_csmsim,35687.83809398898,CSM
carn_csmsim,77471.9579071729,CSM
carn_csmsim,29228.20604414519,CSM
carn_csmsim,179362.24956638512,CSM
carn_csmsim,73050.18876283882,CSM
carn_csmsim,87971.73799907428,CSM
carn_csmsim,164371.4038215203,CSM
carn_csmsim,87980.12582179421,CSM
carn_csmsim,114810.03837766185,CSM
carn_csmsim,29832.221862691327,CSM
carn_csmsim,22162.882658162154,CSM
carn_csmsim,26574.67313397486,CSM
carn_csmsim,46916.84356768893,CSM
carn_csmsim,102918.55387980364,CSM
carn_csmsim,108059.65242468061,CSM
carn_csmsim,47839.36231026639,CSM
carn_csmsim,19750.055487734437,CSM
carn_csmsim,62558.14439953836,CSM
carn_csmsim,47667.81550614482,CSM
carn_csmsim,94474.37841661606,CSM
carn_csmsim,27648.6470931043,CSM
carn_csmsim,112437.87319835281,CSM
carn_csmsim,10961.275236005875,CSM
carn_csmsim,33794.66612476903,CSM
carn_csmsim,206559.91638138326,CSM
carn_csmsim,97154.5711763578,CSM
carn_csmsim,61830.07892640607,CSM
carn_csmsim,51363.99628257829,CSM
carn_csmsim,49951.77988755436,CSM
carn_csmsim,277276.97861131234,CSM
carn_csmsim,80211.91034449957,CSM
carn_csmsim,282340.5886544279,CSM
carn_csmsim,14452.469766979259,CSM
carn_csmsim,28111.93564691477,CSM
carn_csmsim,11406.064515915263,CSM
carn_csmsim,195411.46913248312,CSM
carn_csmsim,76144.11706312935,CSM
carn_csmsim,73031.50822490462,CSM
carn_csmsim,90907.50689883843,CSM
carn_csmsim,42447.889276278744,CSM
carn_csmsim,18483.20401388972,CSM
carn_csmsim,201261.9079584579,CSM
carn_csmsim,76325.6144839132,CSM
carn_csmsim,87494.87405206777,CSM
carn_csmsim,20180.86673678769,CSM
carn_csmsim,49763.337785333955,CSM
carn_csmsim,68901.79430217882,CSM
carn_csmsim,41827.52879282902,CSM
carn_csmsim,54442.970438547985,CSM
carn_csmsim,53935.3957945868,CSM
carn_csmsim,139578.02041498682,CSM
carn_csmsim,44273.77247384508,CSM
carn_csmsim,370560.3464910233,CSM
carn_csmsim,50741.135182170445,CSM
carn_csmsim,27541.15403060227,CSM
carn_csmsim,25541.48491578652,CSM
carn_csmsim,43258.74402468047,CSM
carn_csmsim,87924.07217717776,CSM
carn_csmsim,42226.82288249585,CSM
carn_csmsim,240007.997797513,CSM
carn_csmsim,56813.64208936092,CSM
carn_csmsim,47563.09111504851,CSM
carn_csmsim,53014.392873371486,CSM
carn_csmsim,66423.0086607402,CSM
carn_csmsim,66881.198778832,CSM
carn_csmsim,117007.96550452076,CSM
carn_csmsim,18890.611961197737,CSM
carn_csmsim,46187.58575543442,CSM
carn_csmsim,41904.36822996062,CSM
carn_csmsim,36588.85667624453,CSM
carn_csmsim,208470.4610077796,CSM
carn_csmsim,25638.55231576996,CSM
carn_csmsim,41869.48025649525,CSM
carn_csmsim,43548.15653749093,CSM
carn_csmsim,87335.5495023545,CSM
carn_csmsim,79230.10886479278,CSM
carn_csmsim,22608.78032784298,CSM
carn_csmsim,47893.88012275837,CSM
carn_csmsim,176447.24037056533,CSM
carn_csmsim,46536.13962993946,CSM
carn_csmsim,76758.87211160905,CSM
carn_csmsim,34356.072267403324,CSM
carn_csmsim,43310.85519123332,CSM
carn_csmsim,31996.14650542834,CSM
carn_csmsim,144096.26078392743,CSM
carn_csmsim,51853.65697788984,CSM
carn_csmsim,55651.6931605313,CSM
carn_csmsim,29219.596310975816,CSM
carn_csmsim,77782.56099193227,CSM
carn_csmsim,372733.02970482677,CSM
carn_csmsim,59079.365052844994,CSM
carn_csmsim,94786.37176815457,CSM
carn_csmsim,70469.90414163763,CSM
carn_csmsim,98750.91085008808,CSM
carn_csmsim,91962.7246558376,CSM
carn_csmsim,41316.11820625656,CSM
carn_csmsim,110397.2211946815,CSM
carn_csmsim,17577.22063661253,CSM
carn_csmsim,20156.376257617914,CSM
carn_csmsim,53856.85056965484,CSM
carn_csmsim,30892.67552264196,CSM
carn_csmsim,89588.70999221024,CSM
carn_csmsim,36887.37719416285,CSM
carn_csmsim,838353.4793187155,CSM
carn_csmsim,143528.8295788045,CSM
carn_csmsim,40656.03445207142,CSM
carn_csmsim,113748.5061850726,CSM
carn_csmsim,98856.57740958082,CSM
carn_csmsim,61905.4419704054,CSM
carn_csmsim,50570.760710078226,CSM
carn_csmsim,19841.192747689103,CSM
carn_csmsim,23657.496266386046,CSM
carn_csmsim,38279.54632098869,CSM
carn_csmsim,10178.13728337294,CSM
carn_csmsim,170339.56522698916,CSM
carn_csmsim,118416.12503195617,CSM
carn_csmsim,108152.38011475364,CSM
carn_csmsim,63874.1545041569,CSM
carn_csmsim,17117.0998135789,CSM
carn_csmsim,76163.70000344436,CSM
carn_csmsim,48399.17386514972,CSM
carn_csmsim,32210.045881853053,CSM
carn_csmsim,28185.631833188545,CSM
carn_csmsim,339092.03037197737,CSM
carn_csmsim,14584.087609247981,CSM
carn_csmsim,33301.422305101514,CSM
carn_csmsim,10663.385870992535,CSM
carn_csmsim,17716.61183513404,CSM
carn_csmsim,50729.63283683053,CSM
carn_csmsim,347625.7320862944,CSM
carn_csmsim,35065.6778171254,CSM
carn_csmsim,103834.19234960274,CSM
carn_csmsim,47735.440235563394,CSM
carn_csmsim,99358.61188348124,CSM
carn_csmsim,415472.2773902149,CSM
carn_csmsim,363716.56471192464,CSM
carn_csmsim,50665.00070264396,CSM
carn_csmsim,35372.318281806125,CSM
carn_csmsim,86371.34074260625,CSM
carn_csmsim,188118.73061585193,CSM
carn_csmsim,68157.78351809747,CSM
carn_csmsim,132003.65164461936,CSM
carn_csmsim,17473.42270425113,CSM
carn_csmsim,267715.09746154613,CSM
carn_csmsim,169464.385851717,CSM
carn_csmsim,110126.24124677287,CSM
carn_csmsim,44421.76786436343,CSM
carn_csmsim,38416.55406347804,CSM
carn_csmsim,39107.30037501458,CSM
carn_csmsim,46822.43317146732,CSM
carn_csmsim,194214.41380205943,CSM
carn_csmsim,162434.25640704657,CSM
detr_csmsim,63586.96706589536,CSM
detr_csmsim,419403.9531494333,CSM
detr_csmsim,102713.68960496814,CSM
detr_csmsim,5378549.601244442,CSM
detr_csmsim,2346742.901294042,CSM
detr_csmsim,9998571.406146016,CSM
detr_csmsim,5117155.348066249,CSM
detr_csmsim,25225.03991229761,CSM
detr_csmsim,657773.3313686475,CSM
detr_csmsim,1900383.6679888153,CSM
detr_csmsim,34776.69876829378,CSM
detr_csmsim,9160716.107043236,CSM
detr_csmsim,1116641.2191016788,CSM
detr_csmsim,40766.085986526916,CSM
detr_csmsim,2428163.7181338,CSM
detr_csmsim,5561837.157403369,CSM
detr_csmsim,6957618.310003219,CSM
detr_csmsim,209797.403516466,CSM
detr_csmsim,52189.84659880883,CSM
detr_csmsim,6882735.072298241,CSM
detr_csmsim,718724.3049429718,CSM
detr_csmsim,565939.6404154386,CSM
detr_csmsim,191631.45195659445,CSM
detr_csmsim,212289.90721624112,CSM
detr_csmsim,2121224.2307313043,CSM
detr_csmsim,1227963.3975576921,CSM
detr_csmsim,128253.15481969918,CSM
detr_csmsim,84758.60615368414,CSM
detr_csmsim,794661.9572518091,CSM
detr_csmsim,199714.77599278453,CSM
detr_csmsim,1610934.7285575292,CSM
detr_csmsim,358846.08967932744,CSM
detr_csmsim,331347.2842880702,CSM
detr_csmsim,216784.2515213906,CSM
detr_csmsim,2978129.405015502,CSM
detr_csmsim,10665.190446865156,CSM
detr_csmsim,799768.3246484303,CSM
detr_csmsim,3353516.7133148545,CSM
detr_csmsim,1231728.5498026153,CSM
detr_csmsim,2909146.507808977,CSM
detr_csmsim,778655.3887862242,CSM
detr_csmsim,1829312.1549969462,CSM
detr_csmsim,1185854.0052331304,CSM
detr_csmsim,449122.1594802143,CSM
detr_csmsim,150933.93162114234,CSM
detr_csmsim,504997.6674357105,CSM
detr_csmsim,601953.8988031882,CSM
detr_csmsim,535401.0345975196,CSM
detr_csmsim,160700.96525966635,CSM
detr_csmsim,273390.78094752633,CSM
detr_csmsim,2343815.0643673083,CSM
detr_csmsim,1467564.9863936126,CSM
detr_csmsim,1687.8866683123629,CSM
detr_csmsim,91200.18769077404,CSM
detr_csmsim,122501.35814055333,CSM
detr_csmsim,880037.9699646014,CSM
detr_csmsim,9499197.490231417,CSM
detr_csmsim,1641058.3010129114,CSM
detr_csmsim,1348721.7089764548,CSM
detr_csmsim,2339783.5750388,CSM
detr_csmsim,2918528.4807631033,CSM
detr_csmsim,57774.9975429141,CSM
detr_csmsim,99020.24278857121,CSM
detr_csmsim,2919745.2940320633,CSM
detr_csmsim,238207.6107923969,CSM
detr_csmsim,304213.1339626807,CSM
detr_csmsim,3245127.857924092,CSM
detr_csmsim,3356219.0373507948,CSM
detr_csmsim,925056.9635953103,CSM
detr_csmsim,283247.2401936599,CSM
detr_csmsim,392007.59368603857,CSM
detr_csmsim,556507.9239166179,CSM
detr_csmsim,732186.2259672623,CSM
detr_csmsim,1280492.7329280763,CSM
detr_csmsim,486245.1753110477,CSM
detr_csmsim,234726.7333200847,CSM
detr_csmsim,24418.86163548292,CSM
