flux,species_id_stage_id,M,N,node_type,working_name,organismal_group,consumer_strategy_stage,TL,OI,org_type,con_type
0.11473541455204385,1.1,6.999999999999993e-9,5398600.000000007,detritus,carrion-detritus,detritus,detritus,1.0000000000000038,0,detritus,detritus
203628.64087733807,2.1,8.4586523e-4,127758.7329130433,detritus,marine-detritus,detritus,detritus,0.9999999999999942,0,detritus,detritus
53639.29900732567,3.1,5.0057e-6,215887228.55944195,detritus,terrestrial-detritus,detritus,detritus,0.9999999999999638,0,detritus,detritus
1082.5681329831411,4.1,5.0057e-6,1462199752.282399,taxon,Saltwort,vascular plant,autotroph,0.9999999999999986,0,plant,plant
159431.9072780268,6.1,0.005180000000000002,148963.3204633204,taxon,epipellic flora,microphytobenthos,autotroph,0.999999999999964,0,plant,plant
88.05295033643787,7.1,5.969301799999999e-4,997324.8965230745,taxon,Alkali Heath,vascular plant,autotroph,0.9999999999999979,0,plant,plant
137.45331804702818,8.1,5.0057e-6,185655019.27802297,taxon,Fleshy Jaumea,vascular plant,autotroph,0.9999999999999992,0,plant,plant
21321.94568071397,10.1,5.0057e-6,158650654.25415003,taxon,macroalgae,macroalgae,autotroph,0.9999999999999847,0,plant,plant
125.42368807958287,11.1,5.0057e-6,169406876.1611764,taxon,Shore Grass,vascular plant,autotroph,1.000000000000001,0,plant,plant
6398.327878679629,12.1,5.969301799999999e-4,5286945.954047761,taxon,phytoplankton,vascular plant,autotroph,0.9999999999999817,0,plant,plant
0,13.1,8.4586523e-4,268619588.489291,taxon,roots,vascular plant,autotroph,NA,NA,plant,plant
9030.307962330839,14.1,0.005180000000000002,786615.193050194,taxon,Annual Pickleweed,vascular plant,autotroph,1.0000000000000007,0,plant,plant
47.279098153710294,15.1,2.1800340000000015e-5,978577.9946551281,taxon,Parish's Pickleweed,vascular plant,autotroph,1.000000000000002,0,plant,plant
22187.193888384823,16.1,8.4586523e-4,11835612.394187167,taxon,Pickleweed,vascular plant,autotroph,0.9999999999999998,0,plant,plant
252.72084812826648,17.1,0.005180000000000002,329858.4362934361,taxon,California Cordgrass,vascular plant,autotroph,0.999999999999999,0,plant,plant
345.5067633890394,18.1,8.4586523e-4,2761669.255514854,taxon,Suaeda,vascular plant,autotroph,0.9999999999999993,0,plant,plant
4.042744613640765,19.1,0.005142534950000002,5315.147736623551,taxon,Arrowgrass,vascular plant,autotroph,0.9999999999999993,0,plant,plant
1801.7542316451127,20.1,0.005180000000000002,157014.15637065633,taxon,Eelgrass,vascular plant,autotroph,0.9999999999999993,0,plant,plant
0.5912112697012311,21.1,2.4299999999999963e-8,12159045.267489735,taxon,foraminiferan,protist,predator,1.999999999999968,3.512403180496555e-28,animal,animal
18.201897067859672,24.1,9.115330000000004e-6,34391.61999999999,life stage,annelid unknown (green saccate thin skin),annelid,predator,2.0000000000000355,1.7057144923141328e-27,animal,animal
7.154194516239006,25.1,3.6125100000000004e-6,34391.61999999999,life stage,Capitella capitata,annelid,detritivore,2.0000000000000044,1.0432685471547881e-28,animal,animal
8.103704292555657,26.1,1.9013000000000016e-6,74017.41000000005,life stage,capitellid?,annelid,detritivore,2.0000000000000133,3.646509534384127e-28,animal,animal
218.01466121166155,29.1,4.114160000000001e-6,1292687.510000001,life stage,Cirriformia spirabrancha,annelid,detritivore,2.0000000000000027,7.119469669619632e-29,animal,animal
25.856886667936827,34.1,4.122200000000001e-6,156632.71999999994,life stage,"Neanthes ""arenaceodentata""",annelid,predator,3.3724043715846914,0.3043775604690716,animal,animal
70.17158762168573,35.1,1.1399999999999992e-6,1074231.1403508787,taxon,oligochaete,annelid,detritivore,1.999999999999934,3.6209208587710205e-27,animal,animal
159.811468877659,36.1,6.080000000000002e-6,452702.3399999998,life stage,brown hesionid,annelid,detritivore,1.9999999999999878,4.1464501330679433e-29,animal,animal
165.86266142156788,37.1,4.580159999999996e-6,621296.6999999994,life stage,poly unk (brwn setae ant third),annelid,detritivore,2.0000000000000018,5.69952004022181e-29,animal,animal
1.2190793012306627,38.1,2.4420100000000016e-6,8597.91,life stage,"orbiniid, pointed prostomium",annelid,detritivore,1.9999999999999845,9.545216953174243e-29,animal,animal
1017.6578866527885,39.1,5.0057e-6,3471713.4700000016,life stage,Naineris,annelid,detritivore,1.9999999999999503,1.932906433017784e-27,animal,animal
5.047025588425498,40.1,3.3699999999999995e-6,25793.720000000016,life stage,poly unk B (4 prost. tents),annelid,detritivore,1.9999999999999667,7.5809532991739235e-28,animal,animal
9.035726861181974,41.1,1.810000000000001e-5,8597.91,life stage,poly unk B (lg green),annelid,detritivore,2.0000000000000115,2.9996435921028974e-28,animal,animal
37.911463722891796,42.1,4.4499999999999955e-6,146164.39999999988,life stage,"poly unk(""fuzzy dorsum"")",annelid,detritivore,2.000000000000044,2.473867798773093e-27,animal,animal
51.53278078366056,43.1,3.58e-6,203827.23000000013,life stage,Polydora sp.,annelid,detritivore,2.557377049180338,0.5745767266863697,animal,animal
4.468984060488094,45.1,3.680000000000001e-6,17195.809999999994,life stage,spionid,annelid,predator,2.5666666666666207,0.578888888888884,animal,animal
0.003800452258542226,24.2,3.3700000000000044e-8,31364.9851632047,life stage,annelid unknown (green saccate thin skin),annelid,predator,2.00000000000003,2.3538746595179907e-27,animal,animal
0.0015061584211006037,25.2,3.3700000000000044e-8,12430.26706231452,life stage,Capitella capitata,annelid,predator,1.9999999999999505,9.732694677680674e-28,animal,animal
0.00170606868181484,26.2,3.3700000000000044e-8,14080.118694361998,life stage,capitellid?,annelid,predator,2.0000000000000107,8.396561519462585e-28,animal,animal
