Iteration,m,n,b,org,TL,flux
1,5.969301799999999e-4,1810373.7023314836,1080.6666999999986,plant,1.000000000000001,8354.413528374042
1,2.499999999999999e-6,43226668.00000007,108.06667000000012,plant,0.999999999999994,60368.51099389756
1,5.010000000000004e-6,5455755.089820359,27.333333000000017,plant,0.9999999999999963,19895606.90643858
1,2.1699999999999987e-6,3372964654.3778906,7319.333300000018,plant,1.9999999999999996,4989493.456465048
1,1.04905e-6,36023.25913922122,0.03779020000000002,detritus,0.999999999999994,21.949096669015063
1,1.4575,18.75357324185249,27.333333000000003,plant,2.999999999999981,401938.05703859567
1,0.0017829221899999998,15330.637059377235,27.333333000000017,plant,1.999999999999991,1109.9387532628691
1,6.080000000000002e-6,4495613.98026316,27.333333000000017,plant,3.000000000000004,71447.33788871764
1,0.005142534950000002,21014.280126574522,108.06666999999995,detritus,2.599999999999995,237425.90740908086
1,0.005180000000000002,153312.2741312743,794.1575800000012,plant,2.5999999999999948,1779414.940411278
1,2.1800340000000015e-5,1253803.0599522758,27.333333000000014,plant,4.000000000000006,177778.5609924746
1,3.680000000000001e-6,10269.076086956522,0.03779020000000001,plant,3.0000000000000138,43.78165223059164
1,6.080000000000002e-6,4495613.98026316,27.333333000000017,plant,1.0000000000000036,2921.5517622662896
1,0.005142534950000002,21014.280126574522,108.06666999999995,detritus,3.999999999999989,11550.818562110564
1,5.4200000000000015e-6,3936039.298892986,21.33333299999999,plant,1.0000000000000164,2466.5611652973453
1,6.59200000000001e-9,5732736.650485431,0.03779020000000002,plant,0.9999999999999964,36101.56725150229
1,5.0057e-6,341344207.6033324,1708.6667000000011,plant,0.9999999999999996,1851.4919108979389
1,5.969301799999999e-4,1810373.7023314836,1080.6666999999986,plant,2.2499999999999907,1170.9982136520632
1,0.16500000000000004,0.22903151515151512,0.0377902,plant,2.0624999999999853,8.090771578506002
1,5.0057e-6,341344207.6033324,1708.6667000000011,plant,1.0000000000000022,365810.1601722629
1,3.3700000000000044e-8,1121370.9198813047,0.03779020000000002,detritus,1.0000000000000204,2107.4866536043623
1,0.005142534950000002,21014.280126574522,108.06666999999995,detritus,2.8571428571428346,5560.614346117793
1,5.969301799999999e-4,1810373.7023314836,1080.6666999999986,plant,2.53125000000002,16937.755021750938
1,5.010000000000004e-6,5455755.089820359,27.333333000000017,plant,0.9999999999999934,16339.158216530717
1,0.875,0.043188800000000006,0.0377902,detritus,3.9999999999999947,22.359556521999387
1,5.0057e-6,341344207.6033324,1708.6667000000011,plant,3.7333333333333263,33638.03075926122
1,3.3700000000000044e-8,1121370.9198813047,0.03779020000000002,detritus,4.499999999999998,0.2177487171566667
1,3.3700000000000044e-8,1121370.9198813047,0.03779020000000002,detritus,0.9999999999999957,0.2177487171566667
1,4.498130000000002e-5,367.4638127399606,0.016529,plant,2.765624999999994,0.0952407911543877
1,5.0057e-6,341344207.6033324,1708.6667000000011,plant,1.0000000000000002,28543.20636053357
1,3.3700000000000044e-8,1121370.9198813047,0.03779020000000002,detritus,2.0000000000000266,0.6313940284114717
1,4.122200000000001e-6,5175229.974285572,21.33333299999999,detritus,0.9999999999999947,356.43471223527195
1,0.005180000000000002,153312.2741312743,794.1575800000012,plant,4.999999999999989,29654.984584474092
1,3.22e-8,1173608.6956521748,0.037790200000000024,plant,3.911111111111116,1.411140341245867
1,0.005142534950000002,21014.280126574522,108.06666999999995,detritus,3.000000000000022,3345.496952347298
1,2.499999999999999e-6,2426051.5600000015,6.065128900000001,animal,2.9285714285714417,187.76251966071993
1,5.010000000000004e-6,1323759.5299999998,6.6320352453000035,animal,1.9999999999999905,124.17565964869907
1,7.269999999999999e-6,809189.3999999996,5.882806937999996,animal,3.6913832199546595,110.14739896471228
1,2.1699999999999987e-6,7350934.562211985,15.951527999999998,animal,3.9111111111111194,298.67023297387357
1,2.4600000000000014e-6,888208.8599999992,2.184993795599999,animal,3.8666666666666725,16381.51739894437
1,0.97,0.00196896907216495,0.0019099000000000013,animal,2.000000000000025,14.319061291271288
1,2.1699999999999987e-6,7350934.562211985,15.951527999999998,animal,3.6000000000000028,5318.109839026565
1,3.740000000000006e-9,1936443.8502673744,0.0072422999999999915,animal,2.8470982142857153,2.446827834060111
1,4.319999999999996e-12,4896689814.814823,0.02115370000000002,animal,3.6000000000000125,7.146826554182715
1,0.7545,0.057894897282968844,0.04368169999999999,animal,1.0000000000000033,14.75796354736253
1,3.3700000000000044e-8,31364.9851632047,0.0010569999999999998,animal,2.3333333333333415,0.3659260801600435
1,1.1399999999999992e-6,18417.719298245618,0.02099619999999999,animal,2.6000000000000085,8.124485990056547
1,2.499999999999999e-6,2426051.5600000015,6.065128900000001,animal,3.4274553571428603,2346.9034766261093
1,4.4499999999999955e-6,146164.39999999988,0.6504315799999988,animal,0.9999999999999932,45.08288811671936
1,2.1699999999999987e-6,7350934.562211985,15.951527999999998,animal,1.9999999999999887,1744.2949411712607
1,0.0013948298800000004,1700.0899999999997,2.3713363306892004,animal,2.0000000000000218,1603.1254560529983
1,1.148500000000001e-7,235.95994775794483,2.7099999999999988e-5,animal,4.299999999999999,0.9053408758902698
1,1.4575,1.4,2.0404999999999998,animal,4.000000000000009,6113.353751982737
1,1.148500000000001e-7,235.95994775794483,2.7099999999999988e-5,animal,3.5822222222222333,0.15425260860343185
1,1.148500000000001e-7,235.95994775794483,2.7099999999999988e-5,animal,3.7783680555555605,0.44063458030006153
1,1.148500000000001e-7,235.95994775794483,2.7099999999999988e-5,animal,3.5312500000000098,0.4405771987021254
