logM,logN,logB
NA,NA,-4.098527297676433
NA,NA,1.4028236712678224
NA,NA,3.7054087642618683
NA,NA,8.45914025996762
NA,NA,6.7418659702494885
NA,NA,5.1199878111033
NA,NA,7.3416998368138975
NA,NA,1.8971199898858813
NA,NA,6.8159961656713595
NA,NA,5.736572297479192
NA,NA,8.127045047395933
NA,NA,11.57252999019442
NA,NA,7.38770923908104
NA,NA,7.5797943935314445
NA,NA,9.108307646411031
-17.53278948659991,NA,-1.149136194900123
-11.94081717999995,10.721584912198418,-1.5351921283483076
-12.728552584439644,10.184224689655897,-2.5443267723050558
-12.07333531809198,9.659339952507965,-2.4139938625194124
-12.375798660257715,11.604466824412022,-0.771330800741363
-12.524417382588776,10.729094207671663,-1.682886947888148
-12.54048300927297,9.910654806299691,-2.629828843387662
-11.931380072529427,14.79319108142603,2.861811776666794
-12.101078597013228,11.75197063275774,-0.8742418103367728
-11.522475925782079,10.184224689655897,-1.3382511425115169
-11.762533635451522,13.219274456902827,1.3487517491668641
-13.68448229555787,NA,NA
-11.96646222044286,11.317576417719986,-0.28027821543618514
-11.578792868681258,11.282837104195137,-0.2959552678165718
-17.205767999588094,NA,-6.972293800119708
-17.205767999588094,NA,-7.9812847872827835
-17.205767999588094,NA,-7.851160303347864
-17.205767999588094,NA,-6.2084272393471105
-17.205767999588094,NA,-7.119958890258013
-17.205767999588094,NA,-8.067073442767642
-17.205767999588094,NA,-2.5752905436887157
-17.205767999588094,NA,-6.311339287381964
-17.205767999588094,NA,-6.775324491801648
-17.205767999588094,NA,-4.088348574140393
-17.205767999588094,NA,-5.717384565074487
-17.205767999588094,NA,-5.733046520342727
NA,NA,NA
-13.746899092536701,11.72669804556977,-1.9259427314162394
-11.111050794776991,12.156938912347666,0.9914144565480024
-15.55278184190826,NA,NA
-11.245421355244158,10.184224689655897,-1.061196568920371
-12.546691467365315,11.61696488836983,-0.8444869480388647
-12.92268908728005,14.586870736376126,1.6641835835052534
-12.728552584439644,10.184224689655897,-2.5443267723050558
-11.163680152518385,11.918825878319318,0.6526852774489961
-11.933662091371213,11.570519145179137,-0.3631432469504353
-5.651813226277034,9.59158587227624,3.502975568435057
-5.074492092459611,7.106737276669199,2.0322468365884285
-8.606846655646487,11.006449368282073,2.008292042771398
-4.712545321853328,11.145104780246212,6.440806211808026
-8.842191950830165,8.297471279611306,-1.1722590441216842
-6.300106533213547,8.865649051029338,2.5655421048290235
-5.8605382442852445,6.443638289425074,0.5831058380160067
-5.8605382442852445,6.443638289425074,0.5831058380160067
-5.324652247473141,6.155961518989384,0.8313098012234006
-6.192294914428117,11.559745308379554,5.488896402988846
-7.034323621433337,9.86505436919982,3.1488628475358738
-17.131448095675605,NA,-5.982465163311181
-17.131448095675605,NA,-7.4531723475177465
-17.131448095675605,NA,-7.4770931738157955
-17.131448095675605,NA,-3.04463474402954
-17.131448095675605,NA,-10.658510136814161
-17.131448095675605,NA,-6.919929079913846
-17.131448095675605,NA,-8.902120648306854
-17.131448095675605,NA,-8.902120648306854
-17.131448095675605,NA,-8.654159046489395
-17.131448095675605,NA,-3.9965465704988
-17.131448095675605,NA,-6.3366062552330416
-11.94340688805473,NA,0.9616791165470974
-13.03360186612687,NA,1.3156742914637818
-8.716087277095673,8.865649051029338,0.14956133631058793
-7.232962716369131,14.116259979504678,6.750388524793991
-9.787137543171628,11.033151218321896,1.223615948317094
-9.391722090556463,8.17250045891426,-1.2192204612684312
-8.401346161944348,10.53451488461018,2.238260383663768
-7.704544563626278,11.077264980550233,3.4242147055608787
-14.128756622547328,12.48680989593396,-1.641953356235791
-12.804757278151477,10.184224689655897,-2.6205339515821673
-12.89921982609012,NA,NA
-15.147316733800094,NA,NA
-13.040783390411907,NA,NA
-18.609422868549242,NA,-2.909965670974672
-10.296945634358702,NA,-0.6458400202592618
-12.0859297299155,12.864188533048635,0.9865013362899813
-19.080393148426072,NA,-1.1839969894132183
-17.136972971607577,NA,-1.3413496765767947
-12.533136084039223,NA,1.1959701584024593
-12.533136084039223,NA,-0.3899999623342798
-12.89921982609012,NA,NA
-13.040783390411907,NA,NA
-10.009263710116647,12.992148832240233,1.6567451108865587
-10.009263710116647,NA,-7.053706334466441
-6.44680401150951,10.278739471004677,4.0236662354387445
-5.785710761918121,9.271113688619346,3.4854029816939502
-7.713381205350015,8.898764434516897,1.0143731019694178
-5.3960609603039735,9.506659289273566,4.109089535500397
-7.157858755047439,11.480848041663766,3.9425759153226467
-6.925295757666933,2.4397349311412793,-4.485752930840533
-7.824843879068498,5.885576114348663,-1.9390265951669907
-8.063732615778767,7.166590245876198,-0.9522285795318961
-6.617227449540494,8.671588412769351,2.096636802159301
-4.852443590927457,1.1019400787607843,-3.1227591521848854
-7.324520533935319,-1.3862943611198906,-8.71381653292105
-8.156897081818999,0.5538851132264376,-7.754519948207681
-2.0436265290387827,2.7694588292308535,0.7255952030403698
-8.18863608985056,3.4647979630717503,-4.554486577421175
0.22811023688637214,NA,-0.4908498088532729
0.22811023688637214,NA,-2.6880740594487524
-1.0405114720292066,NA,-1.9642659914496836
-5.6149168500966455,4.887940214078852,-0.73271621036843
-6.2834040964328555,3.4622924810219664,-2.8210347056462077
-0.8340922933051962,NA,-2.015676069267449
-7.980095763614931,2.859339648648436,-5.120773873207182
-7.754031354902266,3.883417748417812,-4.152821491981077
0.7168637071772613,NA,-1.1007085843613844
-0.7609978474681197,NA,-1.3745974376361596
-1.1897412220792116,-3.2188758248682006,-4.440350904330279
-0.35667494393873245,-4.605170185988091,-5.5531838100581945
-0.2484613592984996,0.03922071315328133,-0.2085365055502466
-1.489435120039404,-1.8325814637483102,-3.3186574868650838
-0.1397219431751373,-1.8971199848858813,-2.0450424338057718
-1.1193253302656512,-4.605170185988091,-6.315865930496419
-2.1099007491645443,-3.506557897319982,-5.514659102743318
0.3767226392425104,-3.912023005428146,-3.7211836615338427
1.1174340429086975,NA,-4.772228816116134
-0.9137938516755678,-2.5257286443082556,-3.4712551056175944
-0.30381145438166457,NA,NA
-0.42235697577838255,-4.605170185988091,-5.213406527477639
-1.0244328904938582,-2.3025850929940455,-3.3587501485579025
-1.2408096943779099,-2.3025850929940455,-3.568007859636204
-2.967144816702078,-1.9661128563728327,-4.905559318916232
-0.9225603448877504,-3.506557897319982,-4.58760535480862
-1.8451602459551701,-4.605170185988091,-6.348539571068054
0.8754687373538999,-3.2188758248682006,-2.273355471140013
-0.13524714940802574,-2.5257286443082556,-2.6927075045281237
